Código CNS;Serventia;Processos Realizados;Comarca;UF
108233;Registro de Imóveis de Garopaba;29;Garopaba;SC
104422;2º Registro de Imóveis de Florianopolis;21;Florianopolis;SC
066514;1º Registro de Imóveis de Altamira;8;Altamira;PA
111328;18º Registro de Imóveis de São Paulo;8;Sao Paulo;SP
090522;2º Ofício de Notas de Mage;7;Mage;RJ
104653;3º Registro de Imóveis de Blumenau;7;Blumenau;SC
113746;8º Registro de Imóveis de São Paulo;6;Sao Paulo;SP
021402;2º Registro de Imóveis de Guarapari;5;Guarapari;ES
093591;2º Ofício de Justiça de Marica;5;Marica;RJ
093401;4º Ofício de Justiça de São Gonçalo;5;Sao Goncalo;RJ
157776;12º Registro de Imóveis do Rio de Janeiro;5;Rio de Janeiro;RJ
059469;Registro de Imóveis de Paracatu;5;Paracatu;MG
008391;2º Registro de Imóveis de Salvador;5;Salvador;BA
088716;1º Ofício de Justiça de Duque de Caxias;5;Duque de Caxias;RJ
089789;Ofício de Justiça de Rio das Ostras;5;Rio das Ostras;RJ
089615;2º Ofício de Justiça de Itaguai;4;Itaguai;RJ
090282;1º Oficio de Justiça de Teresopolis;4;Teresopolis;RJ
105320;Registro de Imóveis de São João Batista;4;Sao Joao Batista;SC
047365;Registro de Imóveis de Vespasiano;4;Vespasiano;MG
007450;Registro de Imóveis de Planalto;4;Planalto;BA
120485;Registro de Imóveis de Atibaia;4;Atibaia;SP
057133;Registro de Imóveis de São João da Ponte;4;Sao Joao da Ponte;MG
160069;Registro de Imóveis de Eldorado do Sul;4;Eldorado do Sul;RS
108688;Registro de Imóveis de Santo Amaro da Imperatriz;4;Santo Amaro da Imperatriz;SC
013029;Registro de Imóveis de Jeremoabo;4;Jeremoabo;BA
067843;1º Registro de Imóveis de Santarem;4;Santarem;PA
076992;Registro de Imóveis de Ibimirim;4;Ibimirim;PE
022954;2º Registro de Imóveis de Serra;4;Serra;ES
121103;Registro de Imóveis de Sumare;3;Sumare;SP
150854;Registro de Imóveis de Itaíba;3;Itaíba;PE
065888;1º Registro de Imóveis de Belem;3;Belem;PA
010280;Registro de Imóveis de Euclides da Cunha;3;Euclides da Cunha;BA
089425;9º Registro de Imóveis do Rio de Janeiro;3;Rio de Janeiro;RJ
104182;1º Registro de Imóveis de Concordia;3;Concordia;SC
099606;Registro de Imóveis de Santa Vitoria do Palmar;3;Santa Vitoria do Palmar;RS
074807;1º Registro de Imóveis de Carpina;3;Carpina;PE
005355;Registro de Imóveis de Feira de Santana;3;Feira de Santana;BA
057257;Registro de Imóveis de Coromandel;3;Coromandel;MG
098178;Registro de Imóveis de Santa Maria;3;Santa Maria;RS
120766;Registro de Imóveis de Assis;3;Assis;SP
021675;1º Registro de Imóveis de Vargem Alta;3;Vargem Alta;ES
098335;Registro de Imóveis de São Francisco de Assis;3;Sao Francisco de Assis;RS
090514;2º Ofício de Justiça de Itaperuna;3;Itaperuna;RJ
013219;Registro de Imóveis de Livramento de Nossa Senhora;3;Livramento de Nossa Senhora;BA
013342;Registro de Imóveis de Ipira;3;Ipira;BA
092197;Oficio de Justiça de Rio das Flores;3;Rio das Flores;RJ
111195;13º Registro de Imóveis de São Paulo;2;Sao Paulo;SP
099309;Registro de Imóveis de Passo Fundo;2;Passo Fundo;RS
107565;Registro de Imóveis de Caçador;2;Cacador;SC
022798;1º Registro de Imóveis de Anchieta;2;Anchieta;ES
098442;Registro de Imóveis de Casca;2;Casca;RS
099622;Registro de Imóveis de São Pedro do Sul;2;Sao Pedro do Sul;RS
021337;1º Registro de Imóveis de Alfredo Chaves;2;Alfredo Chaves;ES
104497;2º Registro de Imóveis de Itajai;2;Itajai;SC
088724;1º Ofício de Justiça de São João de Meriti;2;Sao Joao de Meriti;RJ
105536;Registro de Imóveis de Palhoca;2;Palhoca;SC
089144;3º Ofício de Justiça de Resende;2;Resende;RJ
090662;3º Ofício de Justiça de Queimados;2;Queimados;RJ
008052;Registro de Imóveis de Cicero Dantas;2;Cicero Dantas;BA
161943;2º Registro de Imóveis de Cariacica;2;Cariacica;ES
046029;Registro de Imóveis de Mariana;2;Mariana;MG
105510;1º Registro de Imóveis de Tubarão;2;Tubarao;SC
154344;2º Registro de Imóveis de Campo Grande;2;Campo Grande;MS
045013;Registro de Imóveis de São Francisco;2;Sao Francisco;MG
058503;Registro de Imóveis de Camanducaia;2;Camanducaia;MG
100065;Registro de Imóveis de Entre-Ijuis;2;Santo Ângelo;RS
088583;11º Registro de Imóveis do Rio de Janeiro;2;Rio de Janeiro;RJ
023663;1º Registro de Imóveis de Serra;2;Serra;ES
092189;Ofício de Justiça de Engenheiro Paulo de Frontin;2;Engenheiro Paulo de Frontin;RJ
057281;Registro de Imóveis de Ribeirão das Neves;2;Ribeirao das Neves;MG
005645;1º Registro de Imóveis de Jequie;2;Jequie;BA
124388;Registro de Imóveis de Auriflama;2;Auriflama;SP
057091;Registro de Imóveis de Contagem;2;Contagem;MG
092270;Ofício de Justiça de Armação dos Buzios;2;Armacao dos Buzios;RJ
028480;Registro de Imóveis de Senador Canedo;2;Senador Canedo;GO
145573;Registro de Imóveis de Mairinque;2;Mairinque;SP
140046;1º Registro de Imóveis de Itaberaba;2;Itaberaba;BA
120576;Registro de Imóveis de Barueri;2;Barueri;SP
113282;3º Registro de Imóveis de São Paulo;2;Sao Paulo;SP
088781;1º Ofício de Justiça de Angra dos Reis;2;Angra dos Reis;RJ
093575;3º Ofício de Justiça de Barra Mansa;2;Barra Mansa;RJ
092239;Ofício de Justiça de Paty do Alferes;2;Paty do Alferes;RJ
021378;1º Registro de Imóveis de Itapemirim;2;Itapemirim;ES
